"employee_id","full_name","gender","date_of_birth","hire_date","dept_id","role_id","education","marital_status","age","working_years"
"EMP0453","Avni Choudhary","Female","2004-04-12","2023-06-19","D05","R06","MBA","Married","20","1 year 13 days"
"EMP0116","Sara Mehta","Female","1993-08-02","2020-10-01","D03","R13","Bachelors","Married","30","3 years 9 mons 1 day"
"EMP0118","Reyansh Singh","Male","1986-08-05","2022-06-27","D06","R17","Bachelors","Married","37","2 years 5 days"
"EMP0454","Sneha Patel","Female","2001-03-08","2018-01-15","D03","R06","Bachelors","Single","23","6 years 5 mons 18 days"
"EMP0455","Dhruv Choudhary","Male","1999-09-25","2024-05-16","D02","R09","Bachelors","Single","24","1 mon 17 days"
"EMP0456","Dhruv Iyer","Male","1992-06-19","2015-02-06","D06","R07","Bachelors","Married","32","9 years 4 mons 24 days"
"EMP0457","Nisha Desai","Female","2000-10-10","2018-04-07","D07","R18","Bachelors","Married","23","6 years 2 mons 25 days"
"EMP0458","Sara Reddy","Female","1975-02-05","2015-11-24","D07","R18","Bachelors","Married","49","8 years 7 mons 8 days"
"EMP0459","Rohan Sharma","Male","1993-04-24","2015-06-08","D01","R05","Masters","Married","31","9 years 24 days"
"EMP0460","Rohan Patil","Male","1992-08-02","2021-12-17","D01","R03","Bachelors","Married","31","2 years 6 mons 16 days"
"EMP0461","Vihaan Patil","Male","1986-02-19","2018-07-24","D02","R09","Bachelors","Married","38","5 years 11 mons 9 days"
"EMP0462","Sara Sharma","Female","1983-01-13","2017-05-03","D01","R02","Bachelors","Single","41","7 years 1 mon 30 days"
"EMP0463","Karan Sharma","Male","1986-05-22","2021-09-11","D07","R18","Bachelors","Married","38","2 years 9 mons 21 days"
"EMP0464","Rahul Patel","Male","1990-05-24","2020-05-20","D05","R16","Masters","Married","34","4 years 1 mon 13 days"
"EMP0465","Neha Reddy","Female","1999-02-12","2021-02-08","D06","R07","Masters","Married","25","3 years 4 mons 22 days"
"EMP0466","Krishna Gupta","Male","1982-01-14","2021-07-25","D03","R12","Masters","Single","42","2 years 11 mons 8 days"
"EMP0467","Krishna Reddy","Male","2000-12-29","2016-05-26","D07","R18","Masters","Single","23","8 years 1 mon 7 days"
"EMP0468","Karan Rao","Male","2000-03-16","2020-06-12","D06","R17","Masters","Married","24","4 years 20 days"
"EMP0095","Atharv Desai","Male","1982-09-18","2023-03-11","D01","R03","Bachelors","Single","41","1 year 3 mons 22 days"
"EMP0096","Aditya Mehta","Male","1984-01-20","2017-08-20","D09","R09","MBA","Single","40","6 years 10 mons 13 days"
"EMP0469","Vihaan Patil","Male","1982-06-21","2022-09-04","D04","R15","Bachelors","Married","42","1 year 9 mons 28 days"
"EMP0187","Priya Patel","Female","1986-08-14","2016-05-28","D01","R04","Masters","Single","37","8 years 1 mon 5 days"
"EMP0188","Dhruv Gupta","Male","2003-07-20","2018-10-07","D10","R06","Masters","Married","20","5 years 8 mons 26 days"
"EMP0470","Krishna Gupta","Male","1979-06-08","2021-06-10","D09","R10","Masters","Married","45","3 years 22 days"
"EMP0001","Saanvi Singh","Female","1996-04-03","2020-11-24","D03","R07","Masters","Married","28","3 years 7 mons 8 days"
"EMP0002","Yash Sharma","Male","1975-04-22","2018-09-25","D01","R03","Masters","Married","49","5 years 9 mons 7 days"
"EMP0003","Vivaan Singh","Male","1993-06-15","2019-05-03","D06","R06","Masters","Married","31","5 years 1 mon 30 days"
"EMP0004","Diya Singh","Female","1991-09-27","2016-08-11","D06","R17","Bachelors","Married","32","7 years 10 mons 22 days"
"EMP0005","Dhruv Kumar","Male","1994-07-27","2016-02-16","D09","R10","Bachelors","Married","29","8 years 4 mons 15 days"
"EMP0006","Yash Rao","Male","1977-08-08","2020-06-14","D01","R02","Bachelors","Married","46","4 years 18 days"
"EMP0007","Meera Patel","Female","1988-10-15","2018-08-21","D02","R09","Masters","Married","35","5 years 10 mons 12 days"
"EMP0053","Meera Rao","Female","1976-12-04","2020-05-07","D07","R18","Bachelors","Single","47","4 years 1 mon 26 days"
"EMP0079","Aarohi Desai","Female","1990-07-13","2017-12-17","D09","R10","Masters","Single","33","6 years 6 mons 16 days"
"EMP0080","Rahul Patil","Male","1999-03-04","2023-07-07","D10","R07","Masters","Married","25","11 mons 26 days"
"EMP0081","Meera Deshmukh","Female","1981-01-21","2018-02-23","D08","R20","PhD","Single","43","6 years 4 mons 7 days"
"EMP0082","Rahul Joshi","Male","1984-06-06","2018-04-29","D10","R07","Masters","Married","40","6 years 2 mons 3 days"
"EMP0083","Krishna Gupta","Male","1980-05-05","2018-01-16","D02","R09","Masters","Married","44","6 years 5 mons 17 days"
"EMP0084","Pari Singh","Female","1994-08-23","2019-08-10","D04","R14","Bachelors","Married","29","4 years 10 mons 23 days"
"EMP0085","Ananya Reddy","Female","2004-01-22","2017-08-01","D09","R09","Bachelors","Married","20","6 years 11 mons 1 day"
"EMP0016","Ayaan Verma","Male","1979-08-03","2018-12-05","D04","R14","Masters","Married","44","5 years 6 mons 28 days"
"EMP0086","Diya Iyer","Female","1982-03-03","2020-04-05","D08","R06","Bachelors","Married","42","4 years 2 mons 27 days"
"EMP0087","Rohan Joshi","Male","2004-02-19","2023-12-16","D06","R17","Bachelors","Married","20","6 mons 17 days"
"EMP0088","Neha Sharma","Female","1980-03-26","2015-04-13","D01","R02","Masters","Married","44","9 years 2 mons 19 days"
"EMP0089","Rahul Deshmukh","Male","1980-05-12","2020-01-14","D08","R07","Bachelors","Married","44","4 years 5 mons 19 days"
"EMP0229","Nisha Desai","Female","1995-02-03","2018-04-29","D09","R09","Masters","Married","29","6 years 2 mons 3 days"
"EMP0090","Ayaan Desai","Male","1988-02-12","2023-09-09","D02","R11","Bachelors","Married","36","9 mons 23 days"
"EMP0091","Vivaan Nair","Male","1981-06-23","2019-11-23","D09","R10","Masters","Single","43","4 years 7 mons 9 days"
"EMP0092","Reyansh Desai","Male","1997-03-14","2015-02-10","D08","R20","Masters","Married","27","9 years 4 mons 20 days"
"EMP0093","Ira Singh","Female","1998-12-30","2020-04-22","D06","R17","Bachelors","Married","25","4 years 2 mons 10 days"
"EMP0097","Kabir Verma","Male","1980-02-01","2015-07-01","D01","R02","Bachelors","Married","44","9 years 1 day"
"EMP0098","Atharv Gupta","Male","1986-05-26","2016-11-23","D01","R04","MBA","Married","38","7 years 7 mons 9 days"
"EMP0099","Dhruv Patil","Male","1980-04-03","2016-08-01","D10","R19","Bachelors","Single","44","7 years 11 mons 1 day"
"EMP0105","Neha Singh","Female","1987-12-22","2019-10-09","D06","R17","Bachelors","Married","36","4 years 8 mons 24 days"
"EMP0106","Ira Kumar","Female","1997-10-19","2023-07-03","D05","R07","Bachelors","Single","26","11 mons 30 days"
"EMP0107","Krishna Mehta","Male","1981-10-19","2015-04-17","D01","R02","Bachelors","Married","42","9 years 2 mons 15 days"
"EMP0108","Riya Khan","Female","1982-03-20","2021-01-09","D05","R16","Bachelors","Single","42","3 years 5 mons 24 days"
"EMP0109","Dhruv Singh","Male","1997-10-24","2019-12-27","D01","R05","Bachelors","Single","26","4 years 6 mons 6 days"
"EMP0110","Aditya Singh","Male","1987-02-23","2022-12-10","D06","R06","Bachelors","Married","37","1 year 6 mons 23 days"
"EMP0111","Pooja Iyer","Female","1980-11-16","2019-02-17","D10","R19","Bachelors","Single","43","5 years 4 mons 13 days"
"EMP0320","Rohan Gupta","Male","2004-06-02","2018-07-03","D01","R05","Masters","Single","20","5 years 11 mons 30 days"
"EMP0291","Priya Reddy","Female","1991-03-24","2016-08-16","D07","R18","Bachelors","Single","33","7 years 10 mons 17 days"
"EMP0292","Nisha Sharma","Female","1980-04-24","2015-11-02","D01","R03","Masters","Married","44","8 years 8 mons"
"EMP0147","Rahul Reddy","Male","2004-04-28","2020-06-20","D01","R01","Masters","Married","20","4 years 12 days"
"EMP0148","Neha Sharma","Female","2004-06-30","2016-02-02","D03","R12","Bachelors","Married","20","8 years 5 mons"
"EMP0149","Riya Kumar","Female","1995-03-23","2022-01-14","D02","R10","MBA","Married","29","2 years 5 mons 19 days"
"EMP0150","Avni Patel","Female","1979-10-11","2021-12-10","D02","R09","Masters","Married","44","2 years 6 mons 23 days"
"EMP0186","Tara Kumar","Female","1977-12-08","2022-04-14","D01","R02","MBA","Married","46","2 years 2 mons 18 days"
"EMP0232","Myra Iyer","Female","1999-03-13","2020-04-19","D01","R02","Bachelors","Married","25","4 years 2 mons 13 days"
"EMP0305","Arjun Reddy","Male","1991-07-19","2015-08-10","D09","R17","Bachelors","Married","32","8 years 10 mons 23 days"
"EMP0306","Rohan Rao","Male","1980-08-09","2022-09-07","D09","R17","Masters","Married","43","1 year 9 mons 25 days"
"EMP0308","Pooja Mehta","Female","1994-07-18","2020-11-06","D02","R09","Bachelors","Married","29","3 years 7 mons 26 days"
"EMP0309","Avni Gupta","Female","1999-04-12","2022-07-02","D01","R01","Bachelors","Married","25","2 years"
"EMP0310","Vihaan Patel","Male","2002-07-01","2015-04-14","D02","R11","Masters","Married","22","9 years 2 mons 18 days"
"EMP0378","Myra Mehta","Female","1982-06-23","2019-12-02","D01","R02","MBA","Married","42","4 years 7 mons"
"EMP0379","Pooja Khan","Female","1986-06-30","2023-01-28","D03","R12","Bachelors","Single","38","1 year 5 mons 5 days"
"EMP0380","Aarohi Kumar","Female","2002-12-07","2024-05-26","D09","R09","Bachelors","Single","21","1 mon 7 days"
"EMP0381","Avni Rao","Female","1990-04-21","2015-11-15","D09","R17","Bachelors","Single","34","8 years 7 mons 17 days"
"EMP0382","Krishna Choudhary","Male","1991-12-23","2023-01-15","D09","R17","Bachelors","Married","32","1 year 5 mons 18 days"
"EMP0383","Tara Joshi","Female","1996-12-22","2017-05-11","D04","R15","Bachelors","Married","27","7 years 1 mon 22 days"
"EMP0384","Aditya Rao","Male","1991-07-31","2021-03-24","D02","R09","Masters","Single","32","3 years 3 mons 9 days"
"EMP0385","Krishna Deshmukh","Male","1992-05-14","2023-01-13","D09","R17","MBA","Single","32","1 year 5 mons 20 days"
"EMP0386","Kabir Iyer","Male","1995-02-03","2023-04-28","D06","R17","Bachelors","Married","29","1 year 2 mons 4 days"
"EMP0094","Atharv Reddy","Male","1996-06-12","2020-06-08","D01","R01","Masters","Married","28","4 years 24 days"
"EMP0395","Reyansh Mehta","Male","1977-10-11","2021-04-26","D02","R09","Masters","Married","46","3 years 2 mons 6 days"
"EMP0397","Karan Sharma","Male","1986-12-12","2019-08-25","D02","R10","Masters","Married","37","4 years 10 mons 8 days"
"EMP0398","Riya Patel","Female","1995-11-04","2015-12-15","D05","R16","Masters","Single","28","8 years 6 mons 18 days"
"EMP0399","Rahul Joshi","Male","1980-04-03","2023-02-02","D06","R17","Bachelors","Married","44","1 year 5 mons"
"EMP0400","Krishna Joshi","Male","1980-01-31","2015-08-01","D01","R02","Bachelors","Married","44","8 years 11 mons 1 day"
"EMP0401","Myra Iyer","Female","2003-01-27","2022-09-26","D09","R09","Bachelors","Married","21","1 year 9 mons 6 days"
"EMP0402","Riya Kumar","Female","2003-08-25","2022-03-28","D10","R19","Bachelors","Married","20","2 years 3 mons 5 days"
"EMP0403","Ishaan Gupta","Male","1976-04-25","2015-10-11","D09","R09","MBA","Married","48","8 years 8 mons 22 days"
"EMP0404","Diya Verma","Female","2002-07-03","2024-04-12","D05","R16","Masters","Married","21","2 mons 20 days"
"EMP0405","Amit Khan","Male","1989-04-11","2023-11-11","D04","R15","Bachelors","Single","35","7 mons 21 days"
"EMP0406","Sai Kumar","Male","1991-06-26","2017-08-06","D06","R06","Bachelors","Single","33","6 years 10 mons 27 days"
"EMP0407","Saanvi Reddy","Female","1982-04-05","2017-03-02","D03","R13","Masters","Single","42","7 years 4 mons"
"EMP0408","Tara Sharma","Female","1981-04-10","2022-06-27","D09","R17","Bachelors","Married","43","2 years 5 days"
"EMP0409","Myra Patel","Female","1986-09-26","2021-05-05","D09","R09","Bachelors","Married","37","3 years 1 mon 28 days"
"EMP0410","Vihaan Reddy","Male","1982-03-02","2023-02-26","D01","R05","Masters","Single","42","1 year 4 mons 4 days"
"EMP0411","Myra Iyer","Female","1988-05-25","2023-06-22","D09","R09","Bachelors","Married","36","1 year 10 days"
"EMP0412","Priya Patel","Female","1996-09-03","2018-02-18","D05","R16","Bachelors","Married","27","6 years 4 mons 12 days"
"EMP0429","Ayaan Mehta","Male","1983-12-13","2017-04-18","D01","R03","Bachelors","Single","40","7 years 2 mons 14 days"
"EMP0430","Saanvi Nair","Female","1977-11-03","2018-02-26","D02","R10","Bachelors","Married","46","6 years 4 mons 4 days"
"EMP0431","Priya Nair","Female","1993-01-23","2022-10-07","D02","R09","Masters","Single","31","1 year 8 mons 26 days"
"EMP0432","Arjun Joshi","Male","1977-12-30","2016-07-22","D07","R18","Masters","Single","46","7 years 11 mons 11 days"
"EMP0433","Nisha Nair","Female","1990-02-27","2018-12-04","D07","R18","Bachelors","Married","34","5 years 6 mons 29 days"
"EMP0434","Meera Kumar","Female","1989-08-30","2021-09-18","D06","R07","Bachelors","Single","34","2 years 9 mons 14 days"
"EMP0435","Karan Desai","Male","1988-03-09","2018-12-03","D02","R10","Bachelors","Married","36","5 years 6 mons 30 days"
"EMP0436","Vivaan Kumar","Male","1990-11-28","2019-05-08","D03","R12","MBA","Single","33","5 years 1 mon 25 days"
"EMP0437","Rohan Khan","Male","1993-06-11","2016-03-04","D07","R18","Bachelors","Married","31","8 years 3 mons 29 days"
"EMP0438","Ishaan Deshmukh","Male","1991-06-26","2019-02-19","D03","R12","MBA","Married","33","5 years 4 mons 11 days"
"EMP0054","Yash Deshmukh","Male","1989-05-02","2023-09-01","D03","R12","Masters","Single","35","10 mons 1 day"
"EMP0055","Sai Deshmukh","Male","1989-03-12","2015-03-24","D02","R10","Bachelors","Single","35","9 years 3 mons 9 days"
"EMP0056","Aarohi Iyer","Female","1975-12-08","2016-06-29","D09","R09","Bachelors","Single","48","8 years 3 days"
"EMP0057","Ira Joshi","Female","1988-05-17","2020-01-11","D06","R06","Bachelors","Single","36","4 years 5 mons 22 days"
"EMP0144","Sai Kumar","Male","1987-02-03","2021-01-25","D02","R11","Bachelors","Single","37","3 years 5 mons 8 days"
"EMP0471","Myra Singh","Female","1978-05-25","2023-09-09","D01","R05","Bachelors","Married","46","9 mons 23 days"
"EMP0073","Riya Sharma","Female","1985-09-29","2024-03-27","D01","R02","Bachelors","Married","38","3 mons 6 days"
"EMP0074","Rohan Iyer","Male","1986-11-06","2022-10-07","D07","R02","Masters","Married","37","1 year 8 mons 26 days"
"EMP0075","Sara Verma","Female","1976-01-13","2020-02-29","D07","R18","Bachelors","Married","48","4 years 4 mons 2 days"
"EMP0076","Arjun Nair","Male","1997-06-22","2017-01-01","D10","R03","Masters","Married","27","7 years 6 mons 1 day"
"EMP0077","Kabir Choudhary","Male","1994-05-05","2015-05-25","D06","R17","Bachelors","Married","30","9 years 1 mon 8 days"
"EMP0078","Aarav Khan","Male","1980-04-03","2019-07-25","D03","R13","Bachelors","Married","44","4 years 11 mons 8 days"
"EMP0021","Krishna Nair","Male","1992-05-30","2017-01-14","D07","R18","Masters","Married","32","7 years 5 mons 19 days"
"EMP0022","Meera Mehta","Female","1986-11-22","2023-06-14","D03","R13","Bachelors","Single","37","1 year 18 days"
"EMP0190","Ishaan Deshmukh","Male","1994-07-07","2023-08-29","D08","R20","Bachelors","Single","29","10 mons 4 days"
"EMP0191","Yash Choudhary","Male","1978-08-25","2015-03-08","D06","R17","Masters","Single","45","9 years 3 mons 25 days"
"EMP0193","Sara Reddy","Female","1980-01-19","2022-06-19","D01","R02","PhD","Single","44","2 years 13 days"
"EMP0194","Kiara Gupta","Female","2004-11-30","2023-06-28","D10","R07","Bachelors","Married","19","1 year 4 days"
"EMP0195","Priya Mehta","Female","1976-06-06","2019-08-28","D06","R06","MBA","Married","48","4 years 10 mons 5 days"
"EMP0068","Ananya Desai","Female","1979-08-15","2022-08-03","D07","R18","Masters","Single","44","1 year 10 mons 30 days"
"EMP0069","Yash Sharma","Male","1980-03-19","2018-11-20","D07","R18","Masters","Married","44","5 years 7 mons 12 days"
"EMP0070","Dhruv Mehta","Male","2000-07-21","2023-07-24","D03","R12","Bachelors","Married","23","11 mons 9 days"
"EMP0072","Nisha Kumar","Female","1997-07-03","2022-11-27","D01","R01","Masters","Married","26","1 year 7 mons 5 days"
"EMP0250","Dhruv Desai","Male","1998-12-18","2017-06-23","D05","R16","Bachelors","Single","25","7 years 9 days"
"EMP0251","Arjun Iyer","Male","1993-08-22","2021-02-19","D07","R02","Bachelors","Single","30","3 years 4 mons 11 days"
"EMP0252","Dhruv Patil","Male","1997-08-05","2019-10-12","D06","R17","MBA","Single","26","4 years 8 mons 21 days"
"EMP0269","Pari Verma","Female","1976-06-04","2021-02-10","D01","R05","Masters","Married","48","3 years 4 mons 20 days"
"EMP0270","Dhruv Iyer","Male","1997-04-02","2019-02-06","D03","R12","Bachelors","Married","27","5 years 4 mons 24 days"
"EMP0293","Krishna Patel","Male","1994-08-02","2018-03-31","D08","R20","MBA","Single","29","6 years 3 mons 2 days"
"EMP0294","Kiara Deshmukh","Female","1997-08-31","2023-09-06","D06","R17","Bachelors","Single","26","9 mons 26 days"
"EMP0295","Saanvi Mehta","Female","1975-11-15","2017-05-25","D02","R10","Bachelors","Married","48","7 years 1 mon 8 days"
"EMP0296","Pari Gupta","Female","1983-07-29","2022-10-18","D05","R16","Masters","Married","40","1 year 8 mons 15 days"
"EMP0297","Krishna Joshi","Male","1989-10-29","2020-07-31","D09","R09","MBA","Single","34","3 years 11 mons 2 days"
"EMP0298","Sai Mehta","Male","1984-10-16","2021-10-29","D05","R16","Masters","Single","39","2 years 8 mons 4 days"
"EMP0299","Meera Gupta","Female","1978-08-27","2018-02-21","D08","R20","Bachelors","Single","45","6 years 4 mons 9 days"
"EMP0300","Rohan Rao","Male","1983-03-25","2020-12-25","D05","R16","Masters","Married","41","3 years 6 mons 8 days"
"EMP0301","Sai Joshi","Male","1994-01-20","2016-04-30","D08","R08","Bachelors","Married","30","8 years 2 mons 2 days"
"EMP0302","Amit Nair","Male","1975-03-17","2021-12-20","D09","R10","Bachelors","Married","49","2 years 6 mons 13 days"
"EMP0303","Riya Singh","Female","1994-07-28","2019-02-20","D06","R07","Masters","Married","29","5 years 4 mons 10 days"
"EMP0307","Saanvi Joshi","Female","1993-11-02","2015-01-30","D09","R17","MBA","Married","30","9 years 5 mons 3 days"
"EMP0315","Aditya Rao","Male","1998-03-27","2023-01-24","D06","R06","Masters","Married","26","1 year 5 mons 9 days"
"EMP0316","Ishaan Desai","Male","1986-03-17","2018-06-24","D04","R14","Bachelors","Single","38","6 years 8 days"
"EMP0317","Diya Mehta","Female","2003-11-06","2021-08-01","D01","R03","Masters","Married","20","2 years 11 mons 1 day"
"EMP0318","Atharv Kumar","Male","1985-09-15","2017-08-23","D09","R09","MBA","Married","38","6 years 10 mons 10 days"
"EMP0327","Yash Patil","Male","1980-05-05","2017-05-07","D03","R12","Bachelors","Married","44","7 years 1 mon 26 days"
"EMP0328","Krishna Rao","Male","1998-05-03","2017-08-18","D01","R01","Bachelors","Married","26","6 years 10 mons 15 days"
"EMP0329","Dhruv Gupta","Male","1983-04-07","2015-01-28","D04","R14","Masters","Married","41","9 years 5 mons 5 days"
"EMP0330","Sara Choudhary","Female","2003-11-01","2019-08-22","D01","R01","MBA","Married","20","4 years 10 mons 11 days"
"EMP0331","Vihaan Gupta","Male","1978-06-11","2020-09-20","D06","R17","Bachelors","Married","46","3 years 9 mons 12 days"
"EMP0394","Sai Kumar","Male","1983-02-26","2016-10-02","D07","R18","MBA","Single","41","7 years 9 mons"
"EMP0336","Saanvi Sharma","Female","1987-03-30","2020-12-30","D01","R03","Masters","Married","37","3 years 6 mons 3 days"
"EMP0337","Kiara Khan","Female","2000-01-19","2018-06-13","D01","R02","Masters","Married","24","6 years 19 days"
"EMP0338","Aditya Choudhary","Male","1992-04-23","2017-02-10","D02","R11","Masters","Married","32","7 years 4 mons 20 days"
"EMP0339","Tara Sharma","Female","2004-02-17","2017-02-20","D05","R16","Bachelors","Married","20","7 years 4 mons 10 days"
"EMP0340","Ishaan Joshi","Male","2001-01-26","2015-04-05","D04","R15","Bachelors","Married","23","9 years 2 mons 27 days"
"EMP0367","Yash Desai","Male","1981-09-23","2018-11-16","D02","R11","MBA","Married","42","5 years 7 mons 16 days"
"EMP0387","Sai Deshmukh","Male","1978-08-22","2023-02-28","D07","R18","Bachelors","Single","45","1 year 4 mons 2 days"
"EMP0388","Aditya Patil","Male","1985-09-05","2015-06-17","D09","R17","Bachelors","Single","38","9 years 15 days"
"EMP0389","Vivaan Verma","Male","1985-07-09","2023-05-28","D06","R07","Masters","Married","38","1 year 1 mon 5 days"
"EMP0390","Saanvi Deshmukh","Female","2004-07-23","2023-08-14","D09","R09","Bachelors","Single","19","10 mons 19 days"
"EMP0391","Krishna Desai","Male","1989-07-27","2018-09-03","D01","R03","MBA","Married","34","5 years 9 mons 29 days"
"EMP0392","Reyansh Verma","Male","1992-08-15","2019-04-29","D01","R08","MBA","Married","31","5 years 2 mons 3 days"
"EMP0393","Vivaan Iyer","Male","1988-09-08","2021-11-19","D03","R12","Bachelors","Single","35","2 years 7 mons 13 days"
"EMP0396","Karan Reddy","Male","1984-03-12","2021-12-12","D09","R17","MBA","Married","40","2 years 6 mons 21 days"
"EMP0211","Ayaan Singh","Male","1990-11-28","2016-10-21","D10","R03","Masters","Married","33","7 years 8 mons 12 days"
"EMP0212","Dhruv Rao","Male","1977-06-18","2015-12-25","D01","R04","Bachelors","Single","47","8 years 6 mons 8 days"
"EMP0213","Yash Gupta","Male","1979-07-16","2018-12-28","D10","R19","Masters","Married","44","5 years 6 mons 5 days"
"EMP0214","Aarav Rao","Male","2000-04-23","2023-11-05","D06","R17","Bachelors","Married","24","7 mons 27 days"
"EMP0215","Aditya Singh","Male","1981-01-19","2015-06-24","D01","R02","Bachelors","Single","43","9 years 8 days"
"EMP0216","Kabir Kumar","Male","1999-10-17","2015-02-26","D02","R10","Bachelors","Married","24","9 years 4 mons 4 days"
"EMP0217","Reyansh Iyer","Male","1995-12-02","2024-03-04","D01","R02","Masters","Single","28","3 mons 29 days"
"EMP0218","Aditya Choudhary","Male","1978-11-28","2016-05-19","D04","R15","Bachelors","Married","45","8 years 1 mon 14 days"
"EMP0219","Dhruv Choudhary","Male","1982-11-09","2018-10-10","D02","R09","Masters","Married","41","5 years 8 mons 23 days"
"EMP0220","Priya Nair","Female","1987-03-31","2023-03-14","D01","R03","PhD","Single","37","1 year 3 mons 19 days"
"EMP0221","Meera Patel","Female","1998-10-27","2015-05-20","D01","R02","MBA","Married","25","9 years 1 mon 13 days"
"EMP0222","Riya Mehta","Female","1984-09-16","2020-06-17","D05","R06","Bachelors","Single","39","4 years 15 days"
"EMP0123","Ishaan Choudhary","Male","1981-07-08","2020-07-24","D07","R18","Bachelors","Married","42","3 years 11 mons 9 days"
"EMP0124","Priya Iyer","Female","1978-02-15","2017-05-15","D02","R09","Bachelors","Single","46","7 years 1 mon 18 days"
"EMP0125","Ayaan Choudhary","Male","1978-05-24","2022-12-24","D02","R09","Masters","Single","46","1 year 6 mons 9 days"
"EMP0126","Aarav Reddy","Male","2001-10-17","2019-07-17","D07","R18","Bachelors","Married","22","4 years 11 mons 16 days"
"EMP0127","Saanvi Desai","Female","1980-10-14","2020-09-15","D07","R18","Bachelors","Single","43","3 years 9 mons 17 days"
